Track name,Composer,Movement,Key,Time Signature,Tempo,Beat,Measures,,,
Beethoven x Liszt - Symphony No. 5 In C minor - Simplified,Franz Liszt,,C minor,4-Feb,Allegro con brio,half = 108,All,,C minor,5
Maple Leaf Rag,Scott Joplin,,Ab major,4-Feb,Tempo Di Marcia,quarter = 100,"1-50, 69-",,C# major,0
Maple Leaf Rag,Scott Joplin,,Db major,4-Feb,Tempo Di Marcia,quarter = 100,51-68,,C# major,0
Pineapple Rag,Scott Joplin,,Bb major,4-Feb,,quarter = 100,Jan-54,,C# minor,6
Pineapple Rag,Scott Joplin,,Eb major,4-Feb,,quarter = 100,55-,,C# minor,6
Romanian Folk Dances,Bela Bartok,Topogó / Pe loc,B minor,4-Feb,Andante,quarter = 112,All,,Db minor,0
"30 Etudes de mecanisme, Op. 849 No. 1",Carl Czerny,,C major,4-Apr,Allegro,half = 100,All,,C major,6
"Nocturne in D-flat major, Op. 27, No. 2",Frederic Chopin,,Db major,8-Jun,Lento sostenuto,quarter = 50,All,,D minor,3
Scherzo from Sonata (Divertimento) in F Major,Joseph Haydn,,F major,4-Feb,Maestoso,quarter = 69-80,All (26),,D# major,0
A Real Slow Drag,Scott Joplin,,B minor,4-Apr,Larghetto,quarter = 100,20-Jan,,Db major,7
A Real Slow Drag,Scott Joplin,,F major,4-Apr,Larghetto,quarter = 100,21-56,,Db major,7
A Real Slow Drag,Scott Joplin,,Bb major,4-Apr,Larghetto,quarter = 100,57-90,,Db major,7
"Rossini/Liszt - William Tell Overture, Finale",Franz Liszt,,E major,4-Feb,Allegro vivace,quarter = 152,All,,D major,4
Scherzo No. 1 Op. 20,Frederic Chopin,,B minor,4-Mar,Presto con fuoco,,"1-304, 389-",,A major,5
"Waltz in D-flat major, Op. 64, No. 1",Frederic Chopin,,Db major,4-Mar,Molto vivace,,All,,A minor,5
Valsette in E minor,Jean Sibelius,,E minor,4-Mar,,,All,,A# major,0
"Grand Piano Sonata in G major, Op. 37",Pyotr Tchaikovsky,Finale,G major,4-Mar,Moderato e risoluto,,All,,A# minor,0
"Polonaise in A-flat major, Op. 53",Frederic Chopin,,Ab major,4-Mar,Maestoso,,"1-81, 117-",,Ab major,3
Scherzo No. 1 Op. 20,Frederic Chopin,,B major,4-Mar,Molto piu lento,,305-388,,Ab minor,0
Fur Elise,Ludwig van Beethoven,,A minor,8-Mar,,,All,,B major,3
"Sonata (Divertimento) In G Major, Hob.XVI 11",Joseph Haydn,,G major,8-Mar,Presto,,25-Jan,,B minor,4
"Sonata (Divertimento) In G Major, Hob.XVI 11",Joseph Haydn,,Bb major,8-Mar,Presto,,26-51,,B minor,4
Two Arabesques L. 66 No. 1,Claude Debussy,,A major,4-Apr,,,39-70,,B# major,0
Estampes L. 100 No. 1 Pagodes,Claude Debussy,,B major,4-Apr,,,All,,B# minor,0
La fille aux cheveux de lin,Claude Debussy,,Gb major,4-Mar,,,All,,Bb major,7
Mephisto Waltz No. 1 S. 514,Franz Liszt,,A major,8-Mar,Allegro vivace (quasi presto),,1-136,,Bb minor,3
The Entertainer,Scott Joplin,,C major,4-Feb,,quarter = 80,Jan-69,,D# minor,1
"Six Pieces for Piano, Op. 118 No. 1 Intermezzo in A minor",Johannes Brahms,,A minor,2-Feb,"Allegro non assai, ma molto appassionato",,All,,E major,3
"Piano Sonata No. 14""Moonlight""",Ludwig van Beethoven,Adagio sostenuto,C# minor,2-Feb,,,All,,E minor,4
The Ragtime Dance,Scott Joplin,,Bb major,4-Feb,Not too fast,quarter = 85,21,,Eb major,4
Gershwin Prelude no. 2,George Gershwin,,C# minor,4-Apr,Andante con moto e poco rubato,quarter = 88,All,,Eb minor,3
Impromptu No. 2 Op. 36,Frederic Chopin,,F# major,2-Feb,Allegretto,,"1-39, 73-",,F major,5
Ballade No. 1 Op. 23,Frederic Chopin,,G minor,2-Feb,Presto con fuoco,,208 - ,,F minor,2
Le petit negre,Claude Debussy,,C major,4-Feb,Allegro giusto,,All,,F# major,4
Liszt - Hungarian Rhapsody No. 2,Franz Liszt,,C# minor,4-Feb,Lento a capriccio,,All,,F# minor,3
"Lyric Pieces Book I, Op. 12 No. 1 Arietta",Edvard Grieg,,Eb major,4-Feb,Poco andante e sostenuto,,All,,G major,4
Cleopha,Scott Joplin,,F major,4-Feb,Tempo Di Marcia,,55,,G minor,6
"Etude Op. 25, No. 9",Frederic Chopin,,Gb major,4-Feb,Allegro assai,,All,,G# major,0
"Sixteen Waltzes, Op. 39 No. 15 in A major",Johannes Brahms,,A major,4-Mar,,,All,,G# minor,3
"Piano Sonata No. 23(""Appassionata""), F minor",Ludwig van Beethoven,Presto,F minor,4-Feb,,,All,,Gb major,2
"Six moments musicaux, D. 780 (Op. 94)",Franz Schubert,Allegro moderato,F minor,4-Feb,Allegro moderato,,All,,Gb minor,0
Toccata in E-flat minor,Aram Khachaturian,,Eb minor,4-Apr,Allegro marcatissimo,,All,,,
Two Arabesques L. 66 No. 1,Claude Debussy,,E major,4-Apr,Andantino con moto,,Jan-38,,,
Suite bergamasque (L. 75),Claude Debussy,Clair de lune,Db major,8-Sep,Andante tres expressif,,Jan-36,,,
Suite bergamasque (L. 75),Claude Debussy,Clair de lune,C# minor,8-Sep,,,37-42,,,
Suite bergamasque (L. 75),Claude Debussy,Clair de lune,Db major,8-Sep,,,43 - ,,,
"Three Fantastic Dances, Op. 5",Dmitri Shostakovich,Polka,C major,4-Feb,Allegretto,half = 112,All,,,
"Lyric Pieces Book V, Op. 54 No. 4 Notturno",Edvard Grieg,,C major,8-Sep,Andante,,All,,,
Sarabande No. 3,Erik Satie,,Bb minor,4-Mar,,,All,,,
Sarabande No. 2,Erik Satie,,D# minor,4-Mar,,,All,,,
Poudre D'or,Erik Satie,,D major,4-Mar,Modere,,Jan-39,,,
Gymnopedie No. 3,Erik Satie,,A minor,4-Mar,Lent et grave,,All,,,
Songs without Words Op. 67 No. 2,Felix Mendelssohn,Allegro leggiero,F# minor,16-Dec,Allegro leggiero,,All,,,
Songs without Words Op. 85 No. 1,Felix Mendelssohn,Andante expressivo,F major,4-Feb,Andante,,All,,,
"Preludes and Fugues, Op. 35",Felix Mendelssohn,No. 1,E minor,4-Apr,Adagio,,All,,,
Songs without Words Op. 53 No. 3,Felix Mendelssohn,Presto agitato,G minor,8-Jun,Allegretto,,All,,,
Trois novelettes,Francis Poulenc,No. 1,C major,8-Mar,Modere sans lenteur,eighth = 160,"1-40, 92 -",,,
Trois novelettes,Francis Poulenc,No. 2,Bb minor,2-Feb,Tres rapide et rhythme,half = 138,27-Jan,,,
"Consolation No. 3 in D Flat Major, S 172 – Franz Liszt",Franz Liszt,,Db major,4-Apr,Lento placido,,All,,,
Liszt - Benediction de Dieu dans la Solitude,Franz Liszt,,F# major,4-Apr,Moderato,,132,,,
La Campanella - Grandes Etudes de Paganini No. 3 - Franz Liszt,Franz Liszt,,G# minor,8-Jun,Allegretto,,All,,,
Impromptu No. 1,Franz Schubert,,C minor,4-Apr,Allegro molto moderato,,1-152,,,
"Piano Sonata in D major D. 850, Op. 53,",Franz Schubert,Allegro vivace,D major,4-Apr,allegro vivace,,All,,,
"Prelude, Op. 28, No. 15",Frederic Chopin,,C# minor,4-Apr,poco piu animato,,28-75,,,
"Prelude, Op. 28, No. 15",Frederic Chopin,,Db major,4-Apr,sostenuto,,27-Jan,,,
Ballade No. 1 Op. 23,Frederic Chopin,,G minor,4-Jun,Moderato,,8 - 208,,,
"Tarantelle in A-flat major, Op. 43",Frederic Chopin,,Ab major,8-Jun,Presto,,All,,,
Bacarolle Op. 60,Frederic Chopin,,A major,8-Dec,,,40-83,,,
Bacarolle Op. 60,Frederic Chopin,,F# major,8-Dec,Allegretto,,Jan-39,,,
Bacarolle Op. 60,Frederic Chopin,,F# major,8-Dec,Allegretto,,84-116,,,
Nocturne Opus 32 No. 1 in B Major,Frederic Chopin,,B major,4-Apr,Andante sostenuto,,All,,,
Gershwin Rhapsody in Blue (Piano solo),George Gershwin,,Bb major,4-Apr,Molto moderato,,15,,,
The Man I Love,George Gershwin,,Eb major,4-Apr,Allegro moderato,,All,,,
Haydn - Sonata in C minor HOB XVI/20 Movement I,Joseph Haydn,,C minor,4-Apr,Moderato,,All,,,
Haydn Sonata Hob. XVI 37 Mov. 1 D Major,Joseph Haydn,,D major,4-Apr,Allegro con brio,,All,,,
Haydn - Sonata in E minor Hob XVI/34 Movement I,Joseph Haydn,,G major,8-Jun,Presto,,All,,,
"Piano Sonata No. 17 in D minor, Op. 31, No. 2",Ludwig van Beethoven,Largo-Allegro,D minor,2-Feb,Largo-Allegro,,All,,,
"Piano Sonata No. 32 in C minor, Op. 111",Ludwig van Beethoven,Maestoso,C minor,4-Apr,Maestoso,,All,,,
Jeux d'eau,Maurice Ravel,,E major,4-Apr,Tres doux,eighth = 144,18-48,,,
Gaspard de la nuit,Maurice Ravel,Scarbo,G# minor,8-Mar,Modere,,1-153,,,
Gaspard de la nuit,Maurice Ravel,Le gibet,Eb minor,4-Apr,Tres lent,,14-Jan,,,
Le Tombeau de couperin,Maurice Ravel,Prelude,E minor,16-Dec,Vif,quarter dot = 92,All,,,
Miroirs,Maurice Ravel,Une barque sur l'ocean,F# minor,4-Feb,D'un rhythme souple,,11-Jan,,,
Pictures at an Exhibition,Modest Mussorgsky,Il vecchio castello,G# minor,8-Jun,Andante molto cantabile e con dolore,,All,,,
Pictures at an Exhibition,Modest Mussorgsky,Cum mortuis in lingua mortua,B minor,4-Jun,Andante non troppo con lamento,,All,,,
"The Seasons, Op. 37a",Pyotr Tchaikovsky,June: Bacarolle,G minor,4-Apr,Andante cantabile,,All,,,
Carnaval Op. 9,Robert Schumann,Chiarina,C minor,4-Mar,Passionato,half = 76,All,,,
Songs of the Morning Op. 133,Robert Schumann,Bewegt,F# minor,4-Feb,Bewegt,eighth = 72,All,,,
Album for the Young Op. 68,Robert Schumann,Volksliedchen,D minor,4-Apr,,,All,,,
Album for the Young Op. 68,Robert Schumann,Scheherazade,A minor,4-Apr,Ziemlich langsam leise,,All,,,
Combination March,Scott Joplin,,Bb major,4-Apr,Andante,,47,,,
March Majestic,Scott Joplin,,G major,8-Jun,Tempo Di Marcia,,38,,,
Prelude in C-sharp minor Op. 3 No. 2,Sergei Rachmaninoff,,C# minor,4-Apr,,,All,,,
"Prelude in G minor, Op. 23, No. 5",Sergei Rachmaninoff,,G minor,4-Apr,Alla Marcia,,All,,,
"Etudes-Tableaux, Op. 39",Sergei Rachmaninoff,Appassionato,Eb minor,4-Apr,Appassionato,,Jan-50,,,
Morceau de Fantaisie in G minor,Sergei Rachmaninoff,,G minor,8-Jun,Allegro,,All,,,
Six moments musicaux Op. 16,Sergei Rachmaninoff,Andantino,Bb minor,4-Apr,Andantino con moto,quarter = 84,59-100,,,
Six moments musicaux Op. 16,Sergei Rachmaninoff,Presto,E minor,4-Apr,,quarter = 104,All,,,
"Fantasia No. 3 in D minor, K. 397/385g",Wolfgang Amadeus Mozart,,D minor,2-Feb,,,Jan-51,,,
"Fantasia No. 3 in D minor, K. 397/385g",Wolfgang Amadeus Mozart,,D major,4-Feb,Allegretto,,52-,,,
"Piano Sonata No. 4 in E-flat major, K. 282 / 189g",Wolfgang Amadeus Mozart,Allegro,Eb major,4-Feb,Allegro,,All,,,
"Piano Sonata No. 15 in F major, KV 533/494",Wolfgang Amadeus Mozart,Allegro,F major,2-Feb,Allegro,,All,,,
"Piano Sonata No. 15 in F major, KV 533/494",Wolfgang Amadeus Mozart,Andante,Bb major,4-Mar,Andante,,All,,,
"Piano Sonata No. 11 in A major, K. 331 / 300i",Wolfgang Amadeus Mozart,Alla turca,A minor,4-Feb,Allegretto,,23-Jan,,,
"Piano Sonata No. 11 in A major, K. 331 / 300i",Wolfgang Amadeus Mozart,Alla turca,A major,4-Feb,Allegretto,,26-63,,,